indicator,stocks,avg_wr,avg_ret,total_edge
robotics,63,0.5791127659574468,0.9721046808510638,17130.09
defense,50,0.5825753164556962,1.155437341772152,13216.86
gold,58,0.58655,1.0997918604651162,10784.39
nasdaq_fut,34,0.5794508333333332,1.0438916666666667,10324.55
dow,44,0.5814437037037037,1.016148888888889,9784.89
tech_xlk,33,0.5776873015873016,0.9646269841269842,9262.19
nasdaq,41,0.5750466101694915,0.913314406779661,8728.2
sp500_fut,39,0.57225625,0.90739765625,8583.24
sp500,45,0.5759582608695653,0.957115652173913,7759.75
usd_krw,49,0.5806326732673267,0.9998128712871287,6534.85
battery,18,0.5768982456140351,0.8091649122807018,6251.72
semi_soxx,16,0.5730155555555556,0.7232311111111112,5666.2300000000005
copper,14,0.5707063829787234,0.8434340425531914,4294.1
sox,9,0.5715714285714285,0.6892657142857144,4177.17
clean_energy,19,0.56845,0.7978238095238096,4005.91
vix,5,0.5592074074074074,0.6025740740740742,3937.15
energy_xle,17,0.5674191489361703,0.7018829787234043,3742.7400000000002
nvidia,6,0.563346875,0.456525,3532.13
amd,6,0.5640964285714286,0.5105357142857143,3368.2599999999998
wti,5,0.5608739130434782,0.5996130434782608,2377.04
us_10y,6,0.5714833333333333,0.5308916666666667,2095.77
tesla,5,0.5592466666666667,0.5361133333333333,1736.06
